site	node	lat	lon	straat	referentieadres	ref_m	load	mean_m	p95_m	max_m
1	957	52.718040	4.743100	Zigt	Zigt 91	13.9	188	126.1	217.8	223.2
2	74	52.726966	4.748411	Kuipersven	Kuipersven 36	17.3	96	113.0	198.3	207.9
3	319	52.721107	4.730812	Goudsboer	Goudsboer 2	14.2	105	128.0	191.9	199.9
4	651	52.723389	4.741102	Leuneweg	Leuneweg 1	7.8	119	114.5	199.5	207.9
5	6	52.719005	4.738631	Molenaarweg	Molenaarweg 3	27.5	118	141.3	178.6	219.4
6	2796	52.727288	4.740098	Rietzangerstraat	Rietzangerstraat 3	14.1	57	128.3	187.4	196.0
7	335	52.720613	4.727223	Beuninge	Beuninge 80	11.9	111	111.8	182.8	200.0
8	2175	52.726883	4.743400	Nachtegaalstraat	Nachtegaalstraat 12	12.9	115	107.7	195.7	216.7
9	2544	52.729656	4.750460	Poolster	Poolster 23	18.8	120	131.0	212.4	224.2
10	839	52.722612	4.745902	Puttersakker	Puttersakker 19	15.2	102	102.6	175.6	220.7
11	159	52.724953	4.737802	Burg. Burgerstraat	Burg. Burgerstraat 20	18.1	53	117.5	194.8	200.7
12	831	52.726561	4.738293	Oud Wulpendorp	Oud Wulpendorp 11	10.9	77	127.5	222.9	223.9
13	3315	52.719149	4.744779	Verzetslaan	Verzetslaan 13	16.0	103	117.8	213.2	222.3
14	143	52.722359	4.734768	Stationsstraat	Stationsstraat 22A	30.2	26	100.8	169.8	173.5
15	2272	52.729332	4.742866	Oostwal	Oostwal 79	15.1	49	117.0	204.5	215.5
16	89	52.725414	4.743329	De Baan	De Baan 27	20.3	49	113.3	195.8	207.5
17	457	52.717586	4.731269	De Cres	De Cres 14	14.6	20	95.6	181.4	184.2
18	679	52.729632	4.738858	De Fuik	De Fuik 10	10.2	20	119.6	181.3	182.0
19	1458	52.724896	4.746141	Remmerdel	Remmerdel 46	68.4	35	150.7	212.5	224.5
20	307	52.722228	4.729308	Wonge	Wonge 1	17.0	66	95.5	162.4	189.4
21	3	52.719010	4.737550	't Eiland	't Eiland 2	15.0	77	112.4	173.3	190.2
22	683	52.727714	4.739324	Dorpsstraat	Dorpsstraat 15	14.4	67	96.8	192.1	219.2
23	41	52.721046	4.740490	Pastoor Willemsestraat	Pastoor Willemsestraat 98A	40.5	15	127.9	211.7	217.0
24	454	52.716019	4.728100	Oudevaart	Oudevaart 87	29.4	10	92.8	160.3	170.6
25	80	52.726951	4.750100	Heerlijkheid	Heerlijkheid 16	16.1	83	91.1	170.2	192.4
26	788	52.723250	4.733730	Veilingweg	Veilingweg 74A	70.7	8	149.3	186.6	188.5
27	451	52.716958	4.733817	Bregweid	Bregweid 1	25.0	15	105.5	142.8	161.2
28	647	52.723875	4.742236	Langedijker	Langedijker 13	10.3	80	112.7	188.6	206.6
29	17	52.720964	4.733879	Schelphoek Zuid	Schelphoek Zuid 32	18.0	71	106.0	174.9	177.1
30	461	52.718727	4.731121	De Camper	De Camper 1	16.7	11	132.7	198.1	199.7
31	1185	52.721751	4.737998	Dorpsstraat	Dorpsstraat 140	11.8	105	130.8	194.9	201.9
32	760	52.727455	4.748183	De Spanakker	De Spanakker 1	19.7	38	102.4	176.5	185.3
33	2201	52.730007	4.743017	Oostwal	Oostwal 63	12.8	17	114.1	159.7	185.7
34	2606	52.723232	4.736527	Posthoorn	Posthoorn 10	11.6	67	143.8	205.1	219.3
35	384	52.719263	4.726936	Oudewal	Oudewal 51	20.8	39	113.3	198.5	212.8
36	704	52.729323	4.738286	De Fuik	De Fuik 14	11.1	2	83.1	157.9	166.2
37	954	52.716676	4.742833	Schoffel	Schoffel 1	20.4	59	117.0	201.3	221.9
38	960	52.716574	4.739700	Debbemeerweg	Debbemeerweg 33	30.2	27	148.6	205.9	208.3
39	15	52.719871	4.734113	Oudewal	Oudewal 1	20.7	51	97.1	186.8	196.5
40	140	52.725478	4.739068	Torenvenplein	Torenvenplein 8	26.1	54	112.4	202.9	219.1
41	233	52.725928	4.750240	Baljuw	Baljuw 1	11.7	52	120.5	173.1	188.6
42	1471	52.715879	4.726680	Oudevaart	Oudevaart 89	61.4	1	224.5	224.5	224.5
43	3280	52.725182	4.734133	Veilingweg	Veilingweg 70D	92.9	1	0.0	0.0	0.0
