id	latitude	longitude	graph_node	meaning
model-225-01	52.730007	4.743017	2201	search anchor on reconstructed walking graph; not a build-ready pin
model-225-02	52.729632	4.738858	679	search anchor on reconstructed walking graph; not a build-ready pin
model-225-03	52.729332	4.742866	2272	search anchor on reconstructed walking graph; not a build-ready pin
model-225-04	52.729323	4.738286	704	search anchor on reconstructed walking graph; not a build-ready pin
model-225-05	52.727714	4.739324	683	search anchor on reconstructed walking graph; not a build-ready pin
model-225-06	52.727455	4.748183	760	search anchor on reconstructed walking graph; not a build-ready pin
model-225-07	52.727288	4.740098	2796	search anchor on reconstructed walking graph; not a build-ready pin
model-225-08	52.726951	4.750100	80	search anchor on reconstructed walking graph; not a build-ready pin
model-225-09	52.726883	4.743400	2175	search anchor on reconstructed walking graph; not a build-ready pin
model-225-10	52.726561	4.738293	831	search anchor on reconstructed walking graph; not a build-ready pin
model-225-11	52.725928	4.750240	233	search anchor on reconstructed walking graph; not a build-ready pin
model-225-12	52.725414	4.743329	89	search anchor on reconstructed walking graph; not a build-ready pin
model-225-13	52.725182	4.734133	3280	search anchor on reconstructed walking graph; not a build-ready pin
model-225-14	52.724953	4.737802	159	search anchor on reconstructed walking graph; not a build-ready pin
model-225-15	52.724896	4.746141	1458	search anchor on reconstructed walking graph; not a build-ready pin
model-225-16	52.723875	4.742236	647	search anchor on reconstructed walking graph; not a build-ready pin
model-225-17	52.723250	4.733730	788	search anchor on reconstructed walking graph; not a build-ready pin
model-225-18	52.723232	4.736527	2606	search anchor on reconstructed walking graph; not a build-ready pin
model-225-19	52.722612	4.745902	839	search anchor on reconstructed walking graph; not a build-ready pin
model-225-20	52.722359	4.734768	143	search anchor on reconstructed walking graph; not a build-ready pin
model-225-21	52.722228	4.729308	307	search anchor on reconstructed walking graph; not a build-ready pin
model-225-22	52.721751	4.737998	1185	search anchor on reconstructed walking graph; not a build-ready pin
model-225-23	52.721107	4.730812	319	search anchor on reconstructed walking graph; not a build-ready pin
model-225-24	52.721046	4.740490	41	search anchor on reconstructed walking graph; not a build-ready pin
model-225-25	52.720964	4.733879	17	search anchor on reconstructed walking graph; not a build-ready pin
model-225-26	52.720613	4.727223	335	search anchor on reconstructed walking graph; not a build-ready pin
model-225-27	52.719871	4.734113	15	search anchor on reconstructed walking graph; not a build-ready pin
model-225-28	52.719263	4.726936	384	search anchor on reconstructed walking graph; not a build-ready pin
model-225-29	52.719149	4.744779	3315	search anchor on reconstructed walking graph; not a build-ready pin
model-225-30	52.719010	4.737550	3	search anchor on reconstructed walking graph; not a build-ready pin
model-225-31	52.719005	4.738631	6	search anchor on reconstructed walking graph; not a build-ready pin
model-225-32	52.718727	4.731121	461	search anchor on reconstructed walking graph; not a build-ready pin
model-225-33	52.717586	4.731269	457	search anchor on reconstructed walking graph; not a build-ready pin
model-225-34	52.716958	4.733817	451	search anchor on reconstructed walking graph; not a build-ready pin
model-225-35	52.716676	4.742833	954	search anchor on reconstructed walking graph; not a build-ready pin
model-225-36	52.716574	4.739700	960	search anchor on reconstructed walking graph; not a build-ready pin
model-225-37	52.716019	4.728100	454	search anchor on reconstructed walking graph; not a build-ready pin
model-225-38	52.715879	4.726680	1471	search anchor on reconstructed walking graph; not a build-ready pin
